Curso,Disciplina,Código turma,Sigla disciplina,Horário Teoria,Horário Prática,Campus,Turno,Vagas,Reserva,Docente Teoria,Docente Teoria 2,Docente Teoria 3,Docente Prática,Docente Prática 2,Inglês,Espanhol,SIGLA,DISCIPLINA,TPEI,RECOMENDAÇÃO,OBJETIVOS,METODOLOGIA EXTENSIONISTA,EMENTA,BIBLIOGRAFIA BÁSICA,BIBLIOGRAFIA COMPLEMENTAR
BACHARELADO EM BIOTECNOLOGIA,BIOESTATÍSTICA,DA1ESTB019-17SA,ESTB019-17,"quinta das 10:00 às 12:00, sala S-209-0, semanal ","sexta das 10:00 às 12:00, sala L603, semanal ",SA,Matutino,30,,GUSTAVO MUNIZ DIAS,,,GUSTAVO MUNIZ DIAS,,Não,Não,ESTB019-17,Bioestatística,2-2-0-4,Computação Científica Aplicada a Problemas Biológicos,Fornecer as ferramentas e a capacitação necessárias para que o aluno se torne um usuário e consumidor esclarecido da estatística médica.,Não se aplica,"Análise descritiva de dados. Probabilidade e modelos de probabilidade. Delineamentos de pesquisa: medidas de força de associação entre variáveis, correlação e regressão. Tabelas de contingência. Análise inferencial. Teste t. ANOVA.","ARANGO, Héctor Gustavo. Bioestatística teórica e computacional: com bancos de dados reais em disco. 3. ed. Rio de Janeiro, RJ: Guanabara Koogan, 2009.
CALLEGARI-JACQUES, Sidia M. Bioestatística: princípios e aplicações. Porto Alegre, RS: Artmed, 2003.
VIEIRA, Sônia. Introdução à bioestatística. 5. ed. Rio de Janeiro, RJ: Elsevier, 2016.","BLAIR, R. Clifford; TAYLOR, Richard A. Bioestatística para ciências da saúde. Trad. de Daniel Vieira. Ver. de Jorge Alves de Sousa. São Paulo, SP: Pearson, 2013.
CHRISTENSEN, Kaare; MURRAY, Jeff; EKBOM, Anders. An Introduction to Epidemiology for Health Professionals. New York, NY: Springer New York: Imprint: Springer, 2010. Livro Digital. (XII, 163), online resource. (Springer Series on Epidemiology and Public Health, 1). Disponível em: http://dx.doi.org/10.1007/978-1-4419-1497-2. Acesso em: 28 jun. 2023. ISBN 9781441914972
COSTA NETO, Pedro Luiz de Oliveira. Estatística. 2. ed. São Paulo, SP: Blücher, 2002.
MARTINEZ, Edson Zangiacomi. Bioestatística para os cursos de graduação da área da saúde. São Paulo, SP: Blücher, 2015.
VAN BELLE, Gerald et al. Biostatistics: a methodology for the health sciences. 2. ed. Hoboken, USA: Wiley-Interscience, 2004."
BACHARELADO EM BIOTECNOLOGIA,BIOESTATÍSTICA,NA1ESTB019-17SA,ESTB019-17,"quinta das 21:00 às 23:00, sala S-308-3, semanal ","sexta das 21:00 às 23:00, sala L603, semanal ",SA,Noturno,30,,FERNANDA NASCIMENTO ALMEIDA,,,FERNANDA NASCIMENTO ALMEIDA,,Não,Não,ESTB019-17,Bioestatística,2-2-0-4,Computação Científica Aplicada a Problemas Biológicos,Fornecer as ferramentas e a capacitação necessárias para que o aluno se torne um usuário e consumidor esclarecido da estatística médica.,Não se aplica,"Análise descritiva de dados. Probabilidade e modelos de probabilidade. Delineamentos de pesquisa: medidas de força de associação entre variáveis, correlação e regressão. Tabelas de contingência. Análise inferencial. Teste t. ANOVA.","ARANGO, Héctor Gustavo. Bioestatística teórica e computacional: com bancos de dados reais em disco. 3. ed. Rio de Janeiro, RJ: Guanabara Koogan, 2009.
CALLEGARI-JACQUES, Sidia M. Bioestatística: princípios e aplicações. Porto Alegre, RS: Artmed, 2003.
VIEIRA, Sônia. Introdução à bioestatística. 5. ed. Rio de Janeiro, RJ: Elsevier, 2016.","BLAIR, R. Clifford; TAYLOR, Richard A. Bioestatística para ciências da saúde. Trad. de Daniel Vieira. Ver. de Jorge Alves de Sousa. São Paulo, SP: Pearson, 2013.
CHRISTENSEN, Kaare; MURRAY, Jeff; EKBOM, Anders. An Introduction to Epidemiology for Health Professionals. New York, NY: Springer New York: Imprint: Springer, 2010. Livro Digital. (XII, 163), online resource. (Springer Series on Epidemiology and Public Health, 1). Disponível em: http://dx.doi.org/10.1007/978-1-4419-1497-2. Acesso em: 28 jun. 2023. ISBN 9781441914972
COSTA NETO, Pedro Luiz de Oliveira. Estatística. 2. ed. São Paulo, SP: Blücher, 2002.
MARTINEZ, Edson Zangiacomi. Bioestatística para os cursos de graduação da área da saúde. São Paulo, SP: Blücher, 2015.
VAN BELLE, Gerald et al. Biostatistics: a methodology for the health sciences. 2. ed. Hoboken, USA: Wiley-Interscience, 2004."
BACHARELADO EM BIOTECNOLOGIA,BIOÉTICA,DA1NHT1002-15SA,NHT1002-15,"segunda das 10:00 às 12:00, sala S-306-2, semanal ",,SA,Matutino,45,,ANA PAULA DE MATTOS AREAS DAU,,,,,Não,Não,NHT1002-15,Bioética,2-0-0-2,Não há,,Não se aplica,Fundamentos da Bioética. Ética na pesquisa científica. Utilização de animais na pesquisa experimental. Pesquisa em seres humanos. Ética e ciência e tecnologia. Ética e meio ambiente.,"GARRAFA, Volnei; KOTTOW, Miguel; SAADA Alya (org.). Bases conceituais da bioética: enfoque latino-americano. Campanário: Gaia, 2006. 284 p.
MARTINS-COSTA, Judith; MOLLER, Leticia Ludwig. Bioética e responsabilidade. Rio de Janeiro: Forense, 2009. 445 p.
SILVA, Ivan de Oliveira. Biodireito, bioética e patrimônio genético Brasileiro. São Paulo: Pillares, 2008. 166 p.","DINIZ, Debora; COSTA, Sérgio. Ensaios: bioética. 2. ed. São Paulo: Brasiliense; Letras Livres, 2006. 212 p.
DINIZ, Debora; GUILHEM, Dirce. O que é bioética. São Paulo: Brasiliense, 2002. 69 p. (Coleção Primeiros Passos, 315).
PEGORARO, Olinto A. Ética e bioética: da subsistência à existência. 2. ed. Petrópolis: Vozes, 2010. 133 p.
SILVA, José Vitor da (org.). Bioética: Meio ambiente, saúde e pesquisa. São Paulo: Iátria, 2006. 203 p.
SIQUEIRA, José Eduardo de; ZOBOLI, Elma; KIPPER, Délio José. Bioética clínica. São Paulo: Gaia, 2008. 256 p."
BACHARELADO EM BIOTECNOLOGIA,BIOÉTICA,NA1NHT1002-15SA,NHT1002-15,"segunda das 19:00 às 21:00, sala S - 305-1, semanal ",,SA,Noturno,45,,ANA PAULA DE MATTOS AREAS DAU,,,,,Não,Não,NHT1002-15,Bioética,2-0-0-2,Não há,,Não se aplica,Fundamentos da Bioética. Ética na pesquisa científica. Utilização de animais na pesquisa experimental. Pesquisa em seres humanos. Ética e ciência e tecnologia. Ética e meio ambiente.,"GARRAFA, Volnei; KOTTOW, Miguel; SAADA Alya (org.). Bases conceituais da bioética: enfoque latino-americano. Campanário: Gaia, 2006. 284 p.
MARTINS-COSTA, Judith; MOLLER, Leticia Ludwig. Bioética e responsabilidade. Rio de Janeiro: Forense, 2009. 445 p.
SILVA, Ivan de Oliveira. Biodireito, bioética e patrimônio genético Brasileiro. São Paulo: Pillares, 2008. 166 p.","DINIZ, Debora; COSTA, Sérgio. Ensaios: bioética. 2. ed. São Paulo: Brasiliense; Letras Livres, 2006. 212 p.
DINIZ, Debora; GUILHEM, Dirce. O que é bioética. São Paulo: Brasiliense, 2002. 69 p. (Coleção Primeiros Passos, 315).
PEGORARO, Olinto A. Ética e bioética: da subsistência à existência. 2. ed. Petrópolis: Vozes, 2010. 133 p.
SILVA, José Vitor da (org.). Bioética: Meio ambiente, saúde e pesquisa. São Paulo: Iátria, 2006. 203 p.
SIQUEIRA, José Eduardo de; ZOBOLI, Elma; KIPPER, Délio José. Bioética clínica. São Paulo: Gaia, 2008. 256 p."
BACHARELADO EM BIOTECNOLOGIA,BIOTECNOLOGIA ANIMAL,DA1NHZ6013-18SA,NHZ6013-18,"quarta das 08:00 às 10:00, sala S-309-3, semanal ","quarta das 10:00 às 12:00, sala 404-3, semanal ",SA,Matutino,30,,MARCELLA PECORA MILAZZOTTO,,,MARCELLA PECORA MILAZZOTTO,,Não,Não,NHZ6013-18,Biotecnologia Animal,2-2-0-4,Biologia Molecular e Biotecnologia; Biologia celular,Introdução à Biotecnologia Animal. Aplicações. Doenças veterinárias de interesse econômico. Biotecnologia aplicada à produção e reprodução animal. Métodos de cultivo de células animais in vitro. Métodos de transferência de genes para células de mamíferos e células de insetos. Animais transgênicos: aplicações. Clonagem de animais.,Não se aplica,"Estudar as principais estratégias de uso de animais com fins biotecnológicos como melhoramento genético, transgenia, clonagem e produtos de aplicaçãoo farmacêutica.","GONÇALVES, Paulo B.D. Biotécnicas aplicadas à reprodução animal. 2. ed.São Paulo. Roca, 2008.  395p. 
PEREIRA, J.C.C. Melhoramento genético aplicado a produção animal. 5. ed. - Belo Horizonte: FEPMVZ, 2008. 617 p.
ULRICH, H., COLLI, W., FARIA, M., Trujillo, C.A. Bases Moleculares da Biotecnologia. São Paulo: Roca, 2008. 232 p.","BIOTECNOLOGIA aplicada à agropecuária. Edição de Geraldo Magela de Almeida Cançado, Luciana Nogueira Londe. Caldas, MG: Empresa de Pesquisa Agropecuária de Minas Gerais, 2012. 644 p., il. ISBN 9788599764299.
CARTWRIGHT, Terence. Animal cells as bioreactors. Cambridge, GBR: Cambridge University Press, 1994. 184 p.
THIEMAN, William J. Introduction to biotechnology. 2. ed. San Francisco, USA: Pearson Education, 2009.
PEASE, Shirley. Mammalian and Avian Transgenesis: New Approaches. Berlin, Heidelberg: Springer Berlin Heidelberg, 2006. Livro Digital. (XX, 281 p. 49 illus., 12 in color), online resource. (Principles and Practice). ISBN 9783540284895. Disponível em: http://dx.doi.org/10.1007/978-3-540-28489-5. Acesso em: 19 ago. 2025.
LANZA, R., LANGER, R., VACANTI, J. Principles of tissue engineering. Amsterdam: Academic Press, 2014. 1887 p."
BACHARELADO EM BIOTECNOLOGIA,BIOTECNOLOGIA ANIMAL,NA1NHZ6013-18SA,NHZ6013-18,"quarta das 19:00 às 21:00, sala S-309-3, semanal ","quarta das 21:00 às 23:00, sala 404-3, semanal ",SA,Noturno,30,,ANA CLAUDIA OLIVEIRA CARREIRA NISHIYAMA,,,ANA CLAUDIA OLIVEIRA CARREIRA NISHIYAMA,,Não,Não,NHZ6013-18,Biotecnologia Animal,2-2-0-4,Biologia Molecular e Biotecnologia; Biologia celular,Introdução à Biotecnologia Animal. Aplicações. Doenças veterinárias de interesse econômico. Biotecnologia aplicada à produção e reprodução animal. Métodos de cultivo de células animais in vitro. Métodos de transferência de genes para células de mamíferos e células de insetos. Animais transgênicos: aplicações. Clonagem de animais.,Não se aplica,"Estudar as principais estratégias de uso de animais com fins biotecnológicos como melhoramento genético, transgenia, clonagem e produtos de aplicaçãoo farmacêutica.","GONÇALVES, Paulo B.D. Biotécnicas aplicadas à reprodução animal. 2. ed.São Paulo. Roca, 2008.  395p. 
PEREIRA, J.C.C. Melhoramento genético aplicado a produção animal. 5. ed. - Belo Horizonte: FEPMVZ, 2008. 617 p.
ULRICH, H., COLLI, W., FARIA, M., Trujillo, C.A. Bases Moleculares da Biotecnologia. São Paulo: Roca, 2008. 232 p.","BIOTECNOLOGIA aplicada à agropecuária. Edição de Geraldo Magela de Almeida Cançado, Luciana Nogueira Londe. Caldas, MG: Empresa de Pesquisa Agropecuária de Minas Gerais, 2012. 644 p., il. ISBN 9788599764299.
CARTWRIGHT, Terence. Animal cells as bioreactors. Cambridge, GBR: Cambridge University Press, 1994. 184 p.
THIEMAN, William J. Introduction to biotechnology. 2. ed. San Francisco, USA: Pearson Education, 2009.
PEASE, Shirley. Mammalian and Avian Transgenesis: New Approaches. Berlin, Heidelberg: Springer Berlin Heidelberg, 2006. Livro Digital. (XX, 281 p. 49 illus., 12 in color), online resource. (Principles and Practice). ISBN 9783540284895. Disponível em: http://dx.doi.org/10.1007/978-3-540-28489-5. Acesso em: 19 ago. 2025.
LANZA, R., LANGER, R., VACANTI, J. Principles of tissue engineering. Amsterdam: Academic Press, 2014. 1887 p."
BACHARELADO EM BIOTECNOLOGIA,BIOTECNOLOGIA VEGETAL,DA1NHBT002-23SA,NHBT002-23,"segunda das 10:00 às 12:00, sala S - 303-3, semanal ","segunda das 08:00 às 10:00, sala 402-3, semanal ",SA,Matutino,30,,WAGNER RODRIGO DE SOUZA,,,WAGNER RODRIGO DE SOUZA,,Não,Não,NHBT002-23,Biotecnologia Vegetal,2-2-0-4,Genética I; Genética II; Fisiologia Vegetal I; Fisiologia Vegetal II,Apresentar aos alunos novas técnicas usadas na área de biotecnologia vegetal.,Não se aplica,"Introduzir as principais e mais recentes tecnologias em biotecnologia de plantas: métodos de transformação genética de plantas; cultura de células e de tecidos vegetais; uso de banco de dados na análise in silico de genes, genomas, proteínas e moléculas para resolver questões biotecnológicas de plantas; bioprospecção e o estudo de ferramentas “ômicas” aplicadas à biotecnologia vegetal; biossegurança e marcos regulatórios relacionados à biotecnologia vegetal.","ALTMAN, A.; HASEGAWA, P.M. Plant Biotechnology and Agriculture: Prospects for the 21st Century. Elsevier, 2012. 586 p. 
RAVEN, P.H; EVERT, R.F; EICHHORN, S.E. Biologia vegetal. 7. ed. Rio de Janeiro: Guanabara Koogan, 2007. xxii, 830 p. 
SLATER, A., SCOTT, N.W.; FOWLER, M.R. Plant Biotechnology: The Genetic Manipulation of Plants. 2nd. ed. Oxford: Oxford Press, 2008. 376 p.","BUCHANAN, B.; GRUISSEM, W.; JONES, Rl. Biochemistry & Molecular Biology of Plants. American Society of Plant Biology, 2000. 1367 p. 
FIGUEIREDO, M.V.B.; BURITY, H.A.; OLIVEIRA, J.P.; SANTOS, C.E.R.S.; STAMFORD, N.P. Biotecnologia aplicada à agricultura: textos de apoio e protocolos experimentais. Brasília: Embrapa Informação Tecnológica, 2010. 761 p. 
SMITH, A.; COUPLAND, G.; DOLAM, L.; HARBERT, N.; JONES, J.; MARTIN, C.; SABLOWSKI, R.; AMEY, A. Plant Biology. New York: Garland Science, 2012. 664 p. 
TAIZ, L.; ZEIGER, E. Fisiologia vegetal. 4. ed. Porto Alegre: Artmed, 2010. 819 p.
ZAHA, Arnaldo; FERREIRA, Henrique B.; PASSAGLIA, Luciane M.P. Biologia Molecular Básica, 2003. 424 p."
BACHARELADO EM BIOTECNOLOGIA,BIOTECNOLOGIA VEGETAL,NA1NHBT002-23SA,NHBT002-23,"segunda das 21:00 às 23:00, sala S-311-3, semanal ","segunda das 19:00 às 21:00, sala 402-3, semanal ",SA,Noturno,30,,HANA PAULA MASUDA,,,HANA PAULA MASUDA,,Não,Não,NHBT002-23,Biotecnologia Vegetal,2-2-0-4,Genética I; Genética II; Fisiologia Vegetal I; Fisiologia Vegetal II,Apresentar aos alunos novas técnicas usadas na área de biotecnologia vegetal.,Não se aplica,"Introduzir as principais e mais recentes tecnologias em biotecnologia de plantas: métodos de transformação genética de plantas; cultura de células e de tecidos vegetais; uso de banco de dados na análise in silico de genes, genomas, proteínas e moléculas para resolver questões biotecnológicas de plantas; bioprospecção e o estudo de ferramentas “ômicas” aplicadas à biotecnologia vegetal; biossegurança e marcos regulatórios relacionados à biotecnologia vegetal.","ALTMAN, A.; HASEGAWA, P.M. Plant Biotechnology and Agriculture: Prospects for the 21st Century. Elsevier, 2012. 586 p. 
RAVEN, P.H; EVERT, R.F; EICHHORN, S.E. Biologia vegetal. 7. ed. Rio de Janeiro: Guanabara Koogan, 2007. xxii, 830 p. 
SLATER, A., SCOTT, N.W.; FOWLER, M.R. Plant Biotechnology: The Genetic Manipulation of Plants. 2nd. ed. Oxford: Oxford Press, 2008. 376 p.","BUCHANAN, B.; GRUISSEM, W.; JONES, Rl. Biochemistry & Molecular Biology of Plants. American Society of Plant Biology, 2000. 1367 p. 
FIGUEIREDO, M.V.B.; BURITY, H.A.; OLIVEIRA, J.P.; SANTOS, C.E.R.S.; STAMFORD, N.P. Biotecnologia aplicada à agricultura: textos de apoio e protocolos experimentais. Brasília: Embrapa Informação Tecnológica, 2010. 761 p. 
SMITH, A.; COUPLAND, G.; DOLAM, L.; HARBERT, N.; JONES, J.; MARTIN, C.; SABLOWSKI, R.; AMEY, A. Plant Biology. New York: Garland Science, 2012. 664 p. 
TAIZ, L.; ZEIGER, E. Fisiologia vegetal. 4. ed. Porto Alegre: Artmed, 2010. 819 p.
ZAHA, Arnaldo; FERREIRA, Henrique B.; PASSAGLIA, Luciane M.P. Biologia Molecular Básica, 2003. 424 p."
BACHARELADO EM BIOTECNOLOGIA,ENZIMOLOGIA E BIOCATÁLISE,DA1NHZ6004-18SA,NHZ6004-18,"sexta das 10:00 às 12:00, sala S - 304-1, semanal , quarta das 08:00 às 10:00, sala S-501, semanal ","quarta das 10:00 às 12:00, sala L605, semanal ",SA,Matutino,30,,DANIELA REMONATTO,,,DANIELA REMONATTO,,Não,Não,NHZ6004-18,Enzimologia e Biocatálise,4-2-0-4,"Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura, propriedades e funções debiomoléculas; Farmacologia",Produção e aplicação de enzimas de interesse industrial de diferentes origens. Uso de enzimas em processos industriais. Engenharia de proteínas para modificações de interesse industrial.,Não se aplica,"Estudar o processo de produção e a aplicação industrial de enzimas recombinantes de origens animal, vegetal e microbiana","BORZANI, W. et al., Biotecnologia Industrial, V. 1: Fundamentos. Ed. Edgard Blucher, São Paulo. 2001. 288p.
COELHO, M. A. Z. et al. Tecnologia Enzimática. Ed. EPUB, São Paulo, 2008. 288 p.
RODRIGUES, L. E. A. Enzimologia Clínica. Ed. Revinter, São Paulo, 2001. 156 p.","CASTRO, I. N. Enzimologia. Ed. Piramide, Madri, 2001. 400 p.
BHATT, S. M. Enzymology and enzyme technology. Ed. S. Chand, New Delhi , 2011, 448. 
STEVENS, L. & PRICE, N. C. Fundamentals of Enzymology : Cell and Molecular Biology of Catalytic Proteins. Ed. Oxford University Press, Oxford, UK, 2000. 496 p.
BUCHHOLZ, K. Biocatalysts and Enzyme Technology. Ed. Wiley-Blackwell,  Hoboken, New Jersey, 2013. 626 p.
WITTALL, J. & SUTTON, P. W. Practical Methods for Biocatalysis and Biotransformations. Ed. John Wiley and Sons, New York, 2012. 368 p."
BACHARELADO EM BIOTECNOLOGIA,ENZIMOLOGIA E BIOCATÁLISE,NA1NHZ6004-18SA,NHZ6004-18,"sexta das 21:00 às 23:00, sala S - 304-1, semanal , quarta das 19:00 às 21:00, sala S-501, semanal ","quarta das 21:00 às 23:00, sala L605, semanal ",SA,Noturno,30,,ROBERTO RULLER,,,ROBERTO RULLER,,Não,Não,NHZ6004-18,Enzimologia e Biocatálise,4-2-0-4,"Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura, propriedades e funções debiomoléculas; Farmacologia",Produção e aplicação de enzimas de interesse industrial de diferentes origens. Uso de enzimas em processos industriais. Engenharia de proteínas para modificações de interesse industrial.,Não se aplica,"Estudar o processo de produção e a aplicação industrial de enzimas recombinantes de origens animal, vegetal e microbiana","BORZANI, W. et al., Biotecnologia Industrial, V. 1: Fundamentos. Ed. Edgard Blucher, São Paulo. 2001. 288p.
COELHO, M. A. Z. et al. Tecnologia Enzimática. Ed. EPUB, São Paulo, 2008. 288 p.
RODRIGUES, L. E. A. Enzimologia Clínica. Ed. Revinter, São Paulo, 2001. 156 p.","CASTRO, I. N. Enzimologia. Ed. Piramide, Madri, 2001. 400 p.
BHATT, S. M. Enzymology and enzyme technology. Ed. S. Chand, New Delhi , 2011, 448. 
STEVENS, L. & PRICE, N. C. Fundamentals of Enzymology : Cell and Molecular Biology of Catalytic Proteins. Ed. Oxford University Press, Oxford, UK, 2000. 496 p.
BUCHHOLZ, K. Biocatalysts and Enzyme Technology. Ed. Wiley-Blackwell,  Hoboken, New Jersey, 2013. 626 p.
WITTALL, J. & SUTTON, P. W. Practical Methods for Biocatalysis and Biotransformations. Ed. John Wiley and Sons, New York, 2012. 368 p."
